Geschlecht,Alter,Kinder,Familienstand,Berufstaetig,Einkaufstag,Einkaufsuhrzeit,Wohnort,Haushaltsnettoeinkommen,Stammkunde,Einkaufssumme,Elektrowerkzeuge,Eisenwaren,Handwerkzeuge,Sanitaermaterial,Schliesstechnik,Fliesen,Farben,Armaturen,Renovierung,Elektromaterial,Baustoffe,Holz,Bodenbelag,Leuchten,Aktionsware
m,51-60,nein,Partnerschaft,ja,Freitag,<10 Uhr,< 10 km,<1000,0,417,0,0,0,0,0,0,0,0,219,105,0,44,0,15,0
m,18-30,nein,Partnerschaft,ja,Freitag,10-12 Uhr,> 25 km,3200-<4500,0,262,0,0,0,94,0,67,0,0,0,0,72,27,0,0,69
w,41-50,nein,ledig,ja,Samstag,>17 Uhr,10 - 25 km,1000-<2000,> 5,271,0,15,12,0,19,0,0,0,80,0,0,0,0,0,134
m,18-30,ja,ledig,nein,Samstag,>17 Uhr,< 10 km,2000-<3200,> 5,620,0,0,51,2,0,99,0,336,90,108,225,0,0,3,234
m,31-40,nein,ledig,nein,Samstag,12-14 Uhr,10 - 25 km,2000-<3200,1 bis 5,433,76,0,0,31,0,61,0,90,0,0,0,96,230,0,0
m,31-40,nein,Partnerschaft,ja,Montag,14-17 Uhr,10 - 25 km,2000-<3200,1 bis 5,287,0,21,22,0,0,0,0,0,170,0,0,96,0,0,0
w,>60,nein,Partnerschaft,ja,Freitag,<10 Uhr,< 10 km,1000-<2000,> 5,442,0,0,0,0,0,0,117,0,109,0,202,14,0,0,0
w,18-30,ja,ledig,ja,Dienstag,<10 Uhr,10 - 25 km,<1000,> 5,703,93,0,9,177,0,38,87,144,249,0,88,0,0,0,0
w,51-60,ja,Partnerschaft,ja,Montag,12-14 Uhr,10 - 25 km,>4500,> 5,130,0,0,0,0,0,0,58,0,72,0,0,0,0,0,0
m,41-50,ja,ledig,ja,Dienstag,14-17 Uhr,< 10 km,<1000,> 5,109,0,0,0,0,0,0,0,0,25,0,0,0,0,0,84
m,18-30,ja,Partnerschaft,nein,Donnerstag,14-17 Uhr,< 10 km,<1000,1 bis 5,279,48,0,32,0,0,0,0,0,0,96,0,20,83,0,0
m,>60,nein,Partnerschaft,ja,Montag,>17 Uhr,< 10 km,2000-<3200,> 5,364,123,0,8,56,22,162,0,82,102,0,0,41,0,0,12
m,41-50,ja,Partnerschaft,ja,Samstag,10-12 Uhr,< 10 km,1000-<2000,1 bis 5,226,0,21,0,72,0,284,0,0,0,0,0,0,0,0,99
m,18-30,ja,Partnerschaft,nein,Dienstag,12-14 Uhr,< 10 km,>4500,1 bis 5,327,0,0,18,36,0,294,0,118,111,44,0,15,0,19,0
m,31-40,nein,ledig,ja,Freitag,10-12 Uhr,10 - 25 km,3200-<4500,> 5,270,0,0,0,90,0,0,0,122,0,0,180,0,0,0,0
m,18-30,nein,ledig,nein,Donnerstag,10-12 Uhr,< 10 km,3200-<4500,1 bis 5,317,0,0,0,45,0,0,0,69,0,0,0,0,0,0,272
w,18-30,nein,Partnerschaft,ja,Donnerstag,>17 Uhr,10 - 25 km,3200-<4500,> 5,303,58,2,33,32,48,84,0,232,0,0,196,15,0,0,0
m,>60,nein,Partnerschaft,nein,Samstag,10-12 Uhr,< 10 km,1000-<2000,1 bis 5,166,0,3,38,0,41,0,0,0,106,0,0,57,0,0,0
m,18-30,nein,ledig,ja,Mittwoch,>17 Uhr,10 - 25 km,3200-<4500,1 bis 5,314,0,0,13,0,0,0,0,0,0,0,135,26,0,0,140
w,18-30,nein,Partnerschaft,ja,Mittwoch,10-12 Uhr,< 10 km,1000-<2000,1 bis 5,232,0,12,14,0,36,198,0,0,0,0,0,0,0,0,0
m,31-40,nein,Partnerschaft,ja,Samstag,<10 Uhr,< 10 km,<1000,1 bis 5,155,0,0,15,0,0,0,0,0,0,76,0,58,0,90,6
w,18-30,ja,Partnerschaft,ja,Samstag,>17 Uhr,< 10 km,<1000,0,184,0,0,32,42,72,174,0,88,141,38,0,0,0,20,0
m,31-40,ja,ledig,ja,Freitag,>17 Uhr,< 10 km,1000-<2000,0,644,0,14,0,10,66,50,156,75,196,22,128,0,0,0,164
m,18-30,nein,Partnerschaft,nein,Dienstag,10-12 Uhr,> 25 km,2000-<3200,0,564,50,0,0,0,0,0,0,0,88,102,202,48,0,19,162
w,>60,ja,Partnerschaft,nein,Dienstag,>17 Uhr,< 10 km,<1000,1 bis 5,157,0,5,7,0,92,0,0,0,0,0,0,30,0,0,62
m,41-50,ja,ledig,nein,Montag,14-17 Uhr,< 10 km,3200-<4500,> 5,445,0,8,16,63,78,80,0,0,0,0,26,0,0,0,348
m,>60,ja,Partnerschaft,ja,Mittwoch,>17 Uhr,10 - 25 km,2000-<3200,1 bis 5,370,0,0,10,0,0,0,84,0,0,0,0,0,0,0,276
m,>60,ja,Partnerschaft,nein,Montag,12-14 Uhr,< 10 km,1000-<2000,> 5,544,0,6,0,0,0,0,0,0,0,0,504,4,0,0,0
m,>60,ja,Partnerschaft,ja,Montag,14-17 Uhr,> 25 km,1000-<2000,1 bis 5,345,165,0,0,32,0,0,0,114,0,0,148,0,0,0,0
m,18-30,nein,ledig,ja,Donnerstag,<10 Uhr,< 10 km,1000-<2000,1 bis 5,591,22,12,16,76,48,0,14,76,114,0,0,8,0,0,345
w,41-50,ja,Partnerschaft,nein,Freitag,<10 Uhr,10 - 25 km,>4500,> 5,368,0,0,0,63,0,0,0,48,86,0,51,14,0,0,154
m,41-50,ja,Partnerschaft,nein,Montag,14-17 Uhr,< 10 km,3200-<4500,> 5,431,0,0,14,0,0,0,0,0,0,0,21,0,0,0,396
m,41-50,nein,Partnerschaft,nein,Montag,14-17 Uhr,< 10 km,1000-<2000,> 5,184,0,4,0,0,93,0,0,114,0,40,0,26,0,48,0
m,31-40,ja,Partnerschaft,ja,Dienstag,>17 Uhr,10 - 25 km,<1000,0,977,0,0,10,171,105,180,0,405,246,150,178,0,0,4,234
m,18-30,nein,ledig,ja,Freitag,12-14 Uhr,10 - 25 km,1000-<2000,1 bis 5,898,0,0,9,54,0,122,0,0,154,120,231,0,0,28,0
w,51-60,ja,ledig,ja,Montag,14-17 Uhr,< 10 km,>4500,1 bis 5,881,0,6,0,14,0,174,0,0,192,90,264,0,0,0,429
m,18-30,ja,ledig,ja,Montag,<10 Uhr,10 - 25 km,<1000,> 5,247,0,8,0,0,84,0,76,0,243,105,0,58,0,66,0
w,41-50,ja,Partnerschaft,ja,Freitag,10-12 Uhr,10 - 25 km,1000-<2000,> 5,126,0,9,0,0,120,0,0,0,0,0,0,0,0,0,117
m,18-30,nein,ledig,ja,Montag,10-12 Uhr,< 10 km,<1000,> 5,243,0,0,0,0,0,0,0,0,192,40,0,23,0,44,56
m,31-40,ja,Partnerschaft,nein,Dienstag,>17 Uhr,< 10 km,2000-<3200,1 bis 5,229,0,2,0,0,0,0,0,148,39,12,0,0,0,27,0
m,>60,nein,Partnerschaft,ja,Freitag,10-12 Uhr,< 10 km,1000-<2000,0,341,0,2,30,0,78,64,0,116,8,19,0,8,0,120,132
m,51-60,nein,ledig,nein,Samstag,<10 Uhr,> 25 km,2000-<3200,1 bis 5,202,84,2,54,0,43,0,0,0,0,0,95,0,0,0,21
m,41-50,ja,Partnerschaft,ja,Samstag,>17 Uhr,< 10 km,2000-<3200,0,697,222,0,0,23,0,0,0,216,53,72,180,32,168,0,0
w,>60,nein,ledig,nein,Freitag,<10 Uhr,< 10 km,1000-<2000,0,260,30,0,0,0,0,0,0,0,102,0,0,0,0,0,128
m,>60,ja,ledig,ja,Samstag,10-12 Uhr,< 10 km,<1000,0,429,192,0,0,0,70,0,0,0,69,0,0,0,0,0,98
m,41-50,nein,ledig,nein,Montag,14-17 Uhr,< 10 km,3200-<4500,0,697,0,0,0,0,0,0,192,0,79,88,0,0,0,28,417
m,>60,nein,Partnerschaft,ja,Donnerstag,12-14 Uhr,> 25 km,1000-<2000,> 5,523,0,0,0,50,0,130,0,0,231,27,152,0,0,29,0
m,18-30,ja,Partnerschaft,ja,Donnerstag,12-14 Uhr,< 10 km,<1000,1 bis 5,364,0,12,21,48,26,93,0,59,92,132,0,52,0,94,0
m,>60,nein,Partnerschaft,ja,Mittwoch,>17 Uhr,10 - 25 km,1000-<2000,0,275,0,0,0,0,0,0,0,0,124,54,97,0,0,13,124
m,31-40,nein,ledig,nein,Samstag,10-12 Uhr,< 10 km,1000-<2000,1 bis 5,464,68,0,0,0,0,0,0,0,0,0,328,68,0,0,0
w,41-50,ja,ledig,ja,Samstag,<10 Uhr,< 10 km,2000-<3200,0,844,0,0,0,26,0,0,0,6,336,0,264,0,0,36,182
m,41-50,nein,ledig,ja,Donnerstag,14-17 Uhr,10 - 25 km,<1000,> 5,77,0,0,0,56,0,0,0,0,0,9,0,0,0,0,12
m,>60,nein,Partnerschaft,nein,Freitag,<10 Uhr,< 10 km,1000-<2000,0,78,75,3,9,0,0,0,0,0,0,0,0,0,0,0,0
m,41-50,ja,ledig,ja,Freitag,12-14 Uhr,10 - 25 km,2000-<3200,> 5,84,0,0,0,84,0,190,0,224,0,0,0,0,0,0,0
m,41-50,nein,Partnerschaft,nein,Montag,<10 Uhr,< 10 km,1000-<2000,1 bis 5,137,0,21,0,72,0,0,0,258,0,0,0,40,0,0,0
m,31-40,nein,Partnerschaft,nein,Dienstag,10-12 Uhr,10 - 25 km,2000-<3200,1 bis 5,107,0,8,6,0,0,0,0,0,22,64,35,0,0,38,0
m,51-60,ja,Partnerschaft,ja,Dienstag,>17 Uhr,10 - 25 km,2000-<3200,1 bis 5,147,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0
m,51-60,nein,Partnerschaft,ja,Samstag,>17 Uhr,< 10 km,2000-<3200,> 5,140,0,0,18,54,23,0,0,78,0,0,45,0,0,0,0
m,>60,ja,ledig,nein,Samstag,<10 Uhr,< 10 km,<1000,1 bis 5,452,61,15,6,53,123,165,0,108,129,0,55,16,9,0,114
m,51-60,ja,Partnerschaft,ja,Freitag,12-14 Uhr,10 - 25 km,1000-<2000,> 5,147,128,0,0,0,0,0,0,0,0,0,0,19,0,0,0
m,51-60,nein,ledig,nein,Samstag,<10 Uhr,< 10 km,3200-<4500,1 bis 5,381,249,3,0,0,11,0,0,0,0,0,129,0,0,0,0
w,31-40,nein,Partnerschaft,nein,Samstag,10-12 Uhr,10 - 25 km,1000-<2000,1 bis 5,89,0,27,0,0,69,0,0,0,0,0,62,0,0,0,0
m,41-50,ja,Partnerschaft,nein,Donnerstag,>17 Uhr,< 10 km,3200-<4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m,>60,nein,Partnerschaft,ja,Freitag,>17 Uhr,10 - 25 km,1000-<2000,1 bis 5,276,0,8,10,0,90,0,0,0,60,0,120,0,0,0,82
w,18-30,nein,Partnerschaft,ja,Samstag,14-17 Uhr,10 - 25 km,<1000,1 bis 5,149,0,20,0,0,37,0,0,0,0,0,87,0,0,42,0
m,>60,nein,Partnerschaft,ja,Mittwoch,>17 Uhr,10 - 25 km,1000-<2000,0,131,0,3,18,0,0,0,0,0,62,128,0,0,0,0,0
w,41-50,ja,Partnerschaft,ja,Mittwoch,>17 Uhr,< 10 km,3200-<4500,> 5,493,86,0,0,30,0,112,0,186,0,0,214,51,0,0,112
m,31-40,ja,Partnerschaft,nein,Dienstag,>17 Uhr,10 - 25 km,1000-<2000,> 5,255,0,0,16,0,0,0,94,0,96,64,0,0,0,0,0
m,18-30,ja,Partnerschaft,nein,Freitag,14-17 Uhr,< 10 km,1000-<2000,0,225,99,0,0,46,0,96,0,249,192,80,0,0,0,117,0
m,>60,nein,Partnerschaft,ja,Montag,10-12 Uhr,10 - 25 km,1000-<2000,> 5,450,300,0,0,0,0,0,0,0,0,0,0,31,0,0,119
m,41-50,ja,Partnerschaft,ja,Dienstag,<10 Uhr,> 25 km,2000-<3200,0,265,0,3,12,0,50,0,0,0,0,0,0,0,0,0,262
w,18-30,nein,ledig,ja,Dienstag,10-12 Uhr,> 25 km,2000-<3200,1 bis 5,39,0,16,0,0,63,0,0,0,0,0,0,0,0,1,0
m,51-60,ja,Partnerschaft,ja,Samstag,10-12 Uhr,< 10 km,1000-<2000,> 5,348,0,0,0,3,0,0,177,0,0,0,0,27,0,0,0
w,18-30,nein,ledig,ja,Freitag,14-17 Uhr,10 - 25 km,<1000,> 5,555,0,0,0,84,0,15,0,136,0,0,363,42,0,0,66
m,18-30,ja,ledig,ja,Dienstag,>17 Uhr,< 10 km,3200-<4500,1 bis 5,148,0,18,0,0,162,0,0,0,92,0,0,38,0,0,0
m,41-50,ja,Partnerschaft,ja,Dienstag,>17 Uhr,10 - 25 km,1000-<2000,> 5,130,0,9,0,0,32,0,0,0,121,0,0,0,0,0,0
m,18-30,ja,Partnerschaft,ja,Samstag,>17 Uhr,< 10 km,1000-<2000,1 bis 5,675,0,0,26,96,0,225,0,0,95,159,190,0,0,28,0
m,>60,nein,ledig,ja,Mittwoch,>17 Uhr,< 10 km,<1000,1 bis 5,403,0,7,7,0,28,105,0,0,0,0,242,0,0,0,49
w,51-60,nein,ledig,nein,Freitag,12-14 Uhr,< 10 km,2000-<3200,1 bis 5,75,0,0,0,0,0,0,0,0,0,0,59,16,0,0,0
m,18-30,nein,Partnerschaft,ja,Dienstag,<10 Uhr,< 10 km,<1000,1 bis 5,207,0,4,10,0,34,0,0,0,81,61,0,0,0,32,0
w,51-60,nein,Partnerschaft,ja,Dienstag,>17 Uhr,< 10 km,3200-<4500,0,291,0,21,20,0,0,0,0,0,0,0,270,0,0,0,0
w,>60,nein,ledig,ja,Mittwoch,>17 Uhr,< 10 km,2000-<3200,1 bis 5,222,0,12,60,0,28,0,0,0,0,0,0,0,0,0,210
m,>60,ja,ledig,nein,Freitag,14-17 Uhr,10 - 25 km,1000-<2000,1 bis 5,904,206,6,0,0,64,0,0,126,80,0,432,54,0,0,0
m,18-30,nein,Partnerschaft,ja,Montag,>17 Uhr,10 - 25 km,>4500,1 bis 5,348,0,21,9,0,0,0,0,0,0,0,0,75,0,0,252
w,31-40,ja,ledig,ja,Freitag,10-12 Uhr,10 - 25 km,2000-<3200,0,551,58,0,22,0,0,0,90,0,336,0,0,45,0,0,0
m,31-40,nein,Partnerschaft,ja,Samstag,12-14 Uhr,10 - 25 km,3200-<4500,1 bis 5,184,0,0,0,37,0,216,0,38,61,99,0,0,0,69,0
m,>60,nein,ledig,ja,Montag,>17 Uhr,< 10 km,1000-<2000,1 bis 5,328,93,12,6,57,80,18,46,0,0,0,0,0,0,0,0
m,41-50,nein,ledig,ja,Dienstag,12-14 Uhr,< 10 km,1000-<2000,> 5,808,50,0,0,33,0,0,0,0,135,60,387,0,192,34,0
m,18-30,ja,ledig,ja,Samstag,<10 Uhr,< 10 km,2000-<3200,0,410,83,0,0,0,0,0,0,0,120,132,195,0,0,2,0
m,18-30,ja,Partnerschaft,ja,Donnerstag,12-14 Uhr,< 10 km,2000-<3200,0,99,0,0,0,0,0,0,5,94,0,0,0,0,0,0,0
m,41-50,nein,ledig,ja,Mittwoch,>17 Uhr,10 - 25 km,<1000,> 5,71,32,21,42,0,60,0,0,0,0,0,0,0,0,0,0
m,51-60,nein,Partnerschaft,ja,Mittwoch,10-12 Uhr,< 10 km,3200-<4500,1 bis 5,197,0,12,0,0,0,0,0,0,0,0,0,40,0,0,0
w,31-40,ja,ledig,ja,Dienstag,<10 Uhr,< 10 km,3200-<4500,> 5,522,0,0,0,0,0,0,90,0,134,68,182,0,0,18,182
w,18-30,nein,ledig,ja,Freitag,>17 Uhr,< 10 km,2000-<3200,1 bis 5,352,48,7,45,27,114,108,0,255,0,0,0,12,0,0,258
m,18-30,ja,Partnerschaft,nein,Montag,14-17 Uhr,> 25 km,3200-<4500,> 5,512,0,0,0,19,0,31,0,160,0,162,192,36,0,50,47
w,18-30,ja,ledig,ja,Montag,>17 Uhr,> 25 km,2000-<3200,> 5,423,0,0,0,21,0,33,0,0,0,0,0,0,0,0,288
m,41-50,ja,ledig,ja,Dienstag,>17 Uhr,< 10 km,3200-<4500,> 5,190,106,0,0,18,0,42,0,312,102,40,0,26,0,28,0
w,41-50,nein,ledig,nein,Donnerstag,10-12 Uhr,< 10 km,1000-<2000,> 5,43,0,4,30,30,16,0,0,0,0,0,0,0,0,0,0
w,31-40,ja,ledig,ja,Montag,12-14 Uhr,10 - 25 km,3200-<4500,1 bis 5,312,0,0,0,0,0,0,0,0,0,0,300,12,0,0,0
m,>60,ja,Partnerschaft,nein,Dienstag,14-17 Uhr,10 - 25 km,>4500,> 5,393,21,0,0,19,0,216,98,76,182,54,0,0,0,42,201
w,18-30,ja,Partnerschaft,nein,Montag,>17 Uhr,< 10 km,<1000,0,296,0,21,4,0,93,0,0,0,0,0,0,7,0,0,237
m,51-60,nein,ledig,ja,Montag,>17 Uhr,> 25 km,3200-<4500,1 bis 5,428,0,5,12,102,42,0,102,0,0,0,0,0,219,0,0
m,>60,ja,Partnerschaft,nein,Montag,12-14 Uhr,> 25 km,3200-<4500,1 bis 5,115,0,9,0,8,34,351,0,375,74,0,0,0,0,0,0
m,18-30,nein,ledig,ja,Freitag,10-12 Uhr,10 - 25 km,>4500,> 5,257,0,15,9,0,90,0,0,0,190,42,0,0,0,0,200
m,31-40,nein,ledig,ja,Samstag,>17 Uhr,< 10 km,1000-<2000,1 bis 5,705,0,0,0,0,0,0,0,124,267,0,249,0,0,0,65
m,31-40,nein,ledig,ja,Freitag,10-12 Uhr,10 - 25 km,1000-<2000,1 bis 5,475,0,0,0,141,87,0,0,0,160,0,0,0,87,0,0
m,>60,nein,ledig,ja,Mittwoch,>17 Uhr,< 10 km,2000-<3200,> 5,521,0,4,48,35,74,240,0,93,237,0,0,13,0,0,0
m,18-30,nein,Partnerschaft,ja,Montag,<10 Uhr,< 10 km,<1000,> 5,239,0,12,9,46,62,0,0,50,0,64,0,30,0,52,0
m,>60,nein,Partnerschaft,ja,Dienstag,>17 Uhr,10 - 25 km,1000-<2000,> 5,260,0,0,0,0,0,0,0,0,0,0,172,0,0,0,88
w,18-30,nein,ledig,nein,Montag,>17 Uhr,< 10 km,2000-<3200,> 5,922,0,7,5,0,0,0,0,302,92,0,309,0,0,16,184
m,18-30,ja,Partnerschaft,ja,Samstag,10-12 Uhr,10 - 25 km,>4500,> 5,66,0,0,0,0,0,0,0,0,87,61,0,5,0,72,0
m,18-30,nein,ledig,ja,Dienstag,>17 Uhr,< 10 km,2000-<3200,> 5,628,0,0,0,60,0,177,0,0,72,32,0,0,0,10,84
m,18-30,ja,ledig,ja,Samstag,10-12 Uhr,< 10 km,1000-<2000,> 5,36,0,12,22,0,33,0,0,0,0,24,0,0,0,0,0
w,51-60,nein,Partnerschaft,nein,Samstag,>17 Uhr,10 - 25 km,2000-<3200,> 5,188,0,15,5,56,22,47,0,141,0,0,0,0,0,0,0
m,18-30,ja,ledig,nein,Samstag,<10 Uhr,< 10 km,2000-<3200,> 5,935,0,4,54,168,0,130,76,222,90,0,264,0,0,0,333
w,>60,ja,ledig,ja,Mittwoch,14-17 Uhr,< 10 km,3200-<4500,1 bis 5,200,0,0,10,0,18,0,0,0,0,0,0,0,0,0,172
m,18-30,nein,Partnerschaft,nein,Dienstag,14-17 Uhr,< 10 km,3200-<4500,1 bis 5,188,64,21,48,7,0,0,0,0,55,65,0,0,0,34,0
m,41-50,ja,Partnerschaft,ja,Mittwoch,>17 Uhr,< 10 km,2000-<3200,0,329,128,12,3,0,50,0,0,0,95,24,0,0,0,0,61
m,41-50,ja,ledig,ja,Montag,14-17 Uhr,< 10 km,2000-<3200,1 bis 5,440,0,1,0,36,0,118,0,0,95,148,0,0,0,21,189
w,31-40,nein,Partnerschaft,ja,Freitag,14-17 Uhr,10 - 25 km,1000-<2000,0,46,0,2,12,0,93,0,0,0,0,0,0,36,0,0,0
w,51-60,nein,ledig,nein,Samstag,>17 Uhr,10 - 25 km,1000-<2000,> 5,549,0,0,0,0,0,0,105,0,43,24,36,57,0,48,0
m,18-30,nein,ledig,nein,Samstag,12-14 Uhr,< 10 km,>4500,1 bis 5,273,0,0,0,138,0,92,0,40,135,0,0,0,0,0,0
w,31-40,nein,Partnerschaft,nein,Freitag,10-12 Uhr,< 10 km,<1000,0,584,111,0,16,96,0,122,0,88,74,47,54,58,0,51,202
w,18-30,ja,ledig,ja,Mittwoch,>17 Uhr,> 25 km,1000-<2000,1 bis 5,550,0,0,6,0,0,0,0,0,90,40,504,0,0,0,0
m,18-30,nein,ledig,nein,Donnerstag,<10 Uhr,< 10 km,3200-<4500,> 5,150,12,0,0,24,60,190,0,174,62,39,0,0,0,0,15
m,>60,ja,ledig,nein,Montag,>17 Uhr,< 10 km,2000-<3200,1 bis 5,478,38,10,0,75,26,0,0,87,177,150,116,0,0,0,89
m,31-40,ja,ledig,nein,Samstag,14-17 Uhr,< 10 km,1000-<2000,1 bis 5,297,0,0,7,90,0,0,0,234,0,46,0,0,0,24,154
w,18-30,nein,Partnerschaft,ja,Mittwoch,>17 Uhr,< 10 km,>4500,1 bis 5,415,0,0,0,4,0,0,0,111,201,159,0,12,0,82,124
w,18-30,ja,ledig,nein,Samstag,<10 Uhr,< 10 km,1000-<2000,0,296,0,0,0,62,0,164,0,158,0,0,234,0,0,0,0
w,>60,ja,ledig,ja,Donnerstag,10-12 Uhr,10 - 25 km,1000-<2000,> 5,447,0,18,36,0,60,0,0,0,66,123,180,0,0,56,126
m,18-30,nein,ledig,nein,Dienstag,>17 Uhr,10 - 25 km,<1000,1 bis 5,827,0,0,0,48,0,0,0,87,0,252,201,24,0,114,117
m,31-40,ja,Partnerschaft,ja,Donnerstag,12-14 Uhr,10 - 25 km,1000-<2000,1 bis 5,343,0,0,0,0,0,0,0,0,71,126,91,0,0,21,87
m,31-40,ja,Partnerschaft,nein,Montag,<10 Uhr,< 10 km,3200-<4500,0,544,0,0,0,132,0,0,0,0,0,27,0,0,0,36,0
m,41-50,nein,ledig,ja,Montag,14-17 Uhr,> 25 km,2000-<3200,1 bis 5,147,0,0,0,21,0,158,0,213,0,88,0,0,0,36,38
m,41-50,nein,ledig,nein,Montag,<10 Uhr,< 10 km,1000-<2000,1 bis 5,90,0,2,24,38,0,40,0,101,50,0,0,0,0,0,0
m,31-40,ja,ledig,nein,Samstag,10-12 Uhr,> 25 km,>4500,> 5,133,0,30,0,58,45,0,0,249,0,0,0,0,0,0,0
w,31-40,ja,ledig,nein,Samstag,>17 Uhr,< 10 km,1000-<2000,> 5,159,0,0,0,0,0,0,0,0,128,159,0,0,0,20,0
m,18-30,nein,Partnerschaft,nein,Montag,>17 Uhr,> 25 km,2000-<3200,> 5,462,0,18,6,0,0,0,0,0,0,0,0,0,0,0,423
m,31-40,ja,Partnerschaft,nein,Samstag,14-17 Uhr,< 10 km,2000-<3200,1 bis 5,195,0,15,0,84,30,159,0,0,0,0,0,0,0,0,76
m,31-40,nein,Partnerschaft,nein,Samstag,14-17 Uhr,10 - 25 km,1000-<2000,0,153,0,0,0,78,0,44,0,190,75,0,0,0,0,0,0
m,18-30,ja,Partnerschaft,ja,Freitag,12-14 Uhr,10 - 25 km,1000-<2000,> 5,253,0,21,33,0,28,0,0,0,0,0,0,0,0,0,232
m,41-50,ja,ledig,ja,Mittwoch,>17 Uhr,10 - 25 km,1000-<2000,1 bis 5,1121,128,0,0,0,0,0,0,0,264,135,222,84,186,38,228
m,51-60,ja,ledig,nein,Donnerstag,12-14 Uhr,< 10 km,2000-<3200,> 5,373,0,6,0,0,42,126,0,0,0,0,106,0,0,0,135
w,18-30,nein,Partnerschaft,nein,Montag,10-12 Uhr,10 - 25 km,3200-<4500,> 5,517,0,0,0,0,0,0,0,0,81,0,228,54,40,0,114
m,>60,ja,Partnerschaft,ja,Dienstag,10-12 Uhr,< 10 km,3200-<4500,1 bis 5,142,0,22,38,0,30,0,0,0,120,0,0,0,0,0,0
m,51-60,nein,Partnerschaft,ja,Freitag,10-12 Uhr,< 10 km,<1000,> 5,117,0,0,0,82,0,0,0,177,19,0,0,16,0,0,0
m,>60,nein,Partnerschaft,ja,Montag,12-14 Uhr,10 - 25 km,1000-<2000,0,212,40,0,14,0,56,0,0,0,0,0,102,0,0,0,0
m,18-30,nein,ledig,ja,Donnerstag,>17 Uhr,< 10 km,1000-<2000,1 bis 5,219,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0
m,51-60,ja,ledig,ja,Samstag,14-17 Uhr,< 10 km,1000-<2000,> 5,33,0,3,36,0,36,0,0,0,0,0,0,0,0,0,0
w,>60,nein,ledig,nein,Freitag,>17 Uhr,10 - 25 km,2000-<3200,> 5,185,98,0,0,33,0,228,0,54,0,0,0,54,0,0,0
m,18-30,ja,ledig,nein,Freitag,10-12 Uhr,> 25 km,3200-<4500,> 5,236,0,7,0,0,102,0,0,0,93,0,0,0,0,0,136
m,51-60,ja,ledig,nein,Samstag,>17 Uhr,10 - 25 km,>4500,1 bis 5,323,0,4,0,0,51,0,0,0,116,0,147,0,0,56,0
w,31-40,nein,ledig,nein,Montag,>17 Uhr,10 - 25 km,3200-<4500,> 5,486,240,7,30,0,84,0,0,0,170,86,18,0,0,0,0
m,31-40,nein,ledig,ja,Donnerstag,12-14 Uhr,< 10 km,2000-<3200,0,585,66,0,15,0,0,0,0,0,234,0,0,0,0,0,270
w,18-30,nein,Partnerschaft,nein,Samstag,14-17 Uhr,10 - 25 km,2000-<3200,1 bis 5,516,258,15,1,0,24,0,0,0,0,159,0,0,0,72,0
m,31-40,ja,Partnerschaft,nein,Freitag,12-14 Uhr,< 10 km,<1000,1 bis 5,719,0,4,0,0,20,141,0,69,132,0,350,23,0,0,0
m,41-50,ja,Partnerschaft,ja,Dienstag,<10 Uhr,10 - 25 km,1000-<2000,> 5,223,0,12,0,0,30,0,0,0,94,0,0,0,0,0,0
m,>60,nein,ledig,ja,Donnerstag,14-17 Uhr,10 - 25 km,1000-<2000,0,302,0,0,0,0,0,0,0,0,76,0,0,12,0,0,214
w,18-30,ja,Partnerschaft,ja,Montag,<10 Uhr,< 10 km,1000-<2000,> 5,711,134,5,12,60,0,255,0,0,111,0,387,0,0,0,0
w,41-50,ja,Partnerschaft,ja,Freitag,14-17 Uhr,< 10 km,2000-<3200,0,394,0,0,33,22,0,204,0,102,147,0,152,40,0,0,0
m,51-60,ja,ledig,ja,Mittwoch,>17 Uhr,10 - 25 km,1000-<2000,1 bis 5,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
m,>60,ja,ledig,ja,Freitag,10-12 Uhr,< 10 km,2000-<3200,0,388,0,14,15,72,0,102,0,36,13,0,228,0,0,0,61
w,>60,ja,Partnerschaft,ja,Samstag,<10 Uhr,10 - 25 km,1000-<2000,1 bis 5,277,0,0,30,162,0,0,0,80,0,0,85,0,0,0,0
m,18-30,ja,ledig,nein,Donnerstag,>17 Uhr,< 10 km,3200-<4500,1 bis 5,273,92,12,18,0,0,0,0,0,0,0,107,46,0,0,0
m,18-30,nein,ledig,nein,Montag,10-12 Uhr,10 - 25 km,1000-<2000,1 bis 5,120,0,3,14,0,68,0,0,0,54,0,0,63,0,0,0
m,41-50,ja,ledig,nein,Donnerstag,12-14 Uhr,10 - 25 km,2000-<3200,1 bis 5,239,0,0,12,0,0,0,0,0,144,102,68,0,0,51,0
m,18-30,nein,ledig,ja,Montag,<10 Uhr,< 10 km,3200-<4500,1 bis 5,363,0,8,0,0,27,0,0,0,124,0,231,0,0,0,0
m,31-40,nein,ledig,ja,Samstag,>17 Uhr,< 10 km,1000-<2000,1 bis 5,619,0,7,0,37,0,0,0,0,158,0,0,0,0,0,399
m,>60,nein,ledig,ja,Samstag,14-17 Uhr,< 10 km,2000-<3200,0,154,0,12,0,51,32,74,0,123,28,0,0,0,0,0,63
